Timestamp,Phone_Time,Sleep_Time
3/31/2023 22:11:04,2,less than 8 hours
3/31/2023 22:11:10,7,less than 8 hours
3/31/2023 22:12:05,6,less than 8 hours
3/31/2023 22:12:42,7,less than 8 hours
3/31/2023 22:15:36,4,8+ hours
3/31/2023 22:15:54,4,8+ hours
3/31/2023 22:23:01,10,8+ hours
3/31/2023 22:27:53,4,less than 8 hours
,,
3/31/2023 22:34:37,1,less than 8 hours
3/31/2023 22:54:42,7,less than 8 hours
3/31/2023 23:04:49,8,less than 8 hours
3/31/2023 23:10:16,8,less than 8 hours
4/1/2023 1:48:18,4,less than 8 hours
4/1/2023 8:36:35,8,less than 8 hours
4/1/2023 10:28:46,8,less than 8 hours
4/2/2023 20:54:28,5,less than 8 hours
4/2/2023 20:58:35,7,less than 8 hours
4/2/2023 21:13:53,3,less than 8 hours
4/2/2023 23:16:59,9,8+ hours
4/3/2023 11:10:57,4,less than 8 hours
4/3/2023 11:16:13,5,8+ hours
4/3/2023 11:58:45,7,less than 8 hours
4/3/2023 12:00:54,7,less than 8 hours
4/3/2023 12:01:01,5,less than 8 hours
4/3/2023 12:01:25,6,less than 8 hours
4/3/2023 12:02:09,4,less than 8 hours
4/3/2023 12:02:10,5,less than 8 hours
4/3/2023 12:03:10,4,less than 8 hours
4/3/2023 12:04:38,6,less than 8 hours
4/3/2023 12:04:52,5,less than 8 hours
4/3/2023 12:04:58,4,less than 8 hours
4/3/2023 12:05:02,5,8+ hours
4/3/2023 12:05:15,4,less than 8 hours
4/3/2023 12:05:32,7,less than 8 hours
4/3/2023 12:06:38,8,less than 8 hours
4/3/2023 12:06:57,3,less than 8 hours
4/3/2023 12:07:07,5,8+ hours
4/3/2023 12:08:33,6,less than 8 hours
4/3/2023 12:09:13,5,8+ hours
4/3/2023 12:09:21,8,8+ hours
4/3/2023 12:09:39,10,less than 8 hours
4/3/2023 12:09:53,6,less than 8 hours
4/3/2023 12:11:21,5,8+ hours
4/3/2023 12:11:40,4,less than 8 hours
4/3/2023 12:15:27,1,less than 8 hours
4/3/2023 12:15:58,3,8+ hours
4/3/2023 12:16:56,18,less than 8 hours
4/3/2023 12:17:29,8,less than 8 hours
4/3/2023 12:17:49,4,8+ hours
4/3/2023 12:18:20,3,8+ hours
4/3/2023 12:19:26,7,less than 8 hours
4/3/2023 12:19:45,3,less than 8 hours
4/3/2023 12:21:33,3,8+ hours
4/3/2023 12:22:13,5,less than 8 hours
4/3/2023 12:22:57,6,less than 8 hours
4/3/2023 12:23:44,7,less than 8 hours
4/3/2023 12:24:11,8,less than 8 hours
4/3/2023 12:24:25,2,less than 8 hours
4/3/2023 12:24:26,4,less than 8 hours
4/3/2023 12:24:41,7,less than 8 hours
4/3/2023 12:24:47,3,8+ hours
4/3/2023 12:25:28,10,8+ hours
4/3/2023 12:25:41,6,8+ hours
4/3/2023 12:26:18,7,8+ hours
4/3/2023 12:36:21,5,less than 8 hours
4/3/2023 12:44:10,7,8+ hours
4/3/2023 12:44:24,4,less than 8 hours
4/3/2023 12:44:37,1,8+ hours
4/3/2023 12:44:48,2,less than 8 hours
4/3/2023 12:46:01,6,less than 8 hours
4/3/2023 12:46:14,5,8+ hours
4/3/2023 12:46:35,11,less than 8 hours
4/3/2023 12:47:02,2,8+ hours
4/3/2023 12:47:12,1,less than 8 hours
4/3/2023 12:47:22,4,less than 8 hours
4/3/2023 12:47:35,6,8+ hours
4/3/2023 12:47:42,2,8+ hours
4/3/2023 12:47:53,3,8+ hours
4/3/2023 12:48:02,4,8+ hours
4/3/2023 12:48:24,8,less than 8 hours
4/3/2023 12:48:35,9,less than 8 hours
4/3/2023 12:48:44,7,less than 8 hours
4/3/2023 12:48:57,9,less than 8 hours
4/3/2023 12:49:09,1,8+ hours
4/3/2023 12:49:20,10,less than 8 hours
4/3/2023 12:49:37,6,less than 8 hours
4/3/2023 12:49:47,6,8+ hours
4/3/2023 12:50:06,3,less than 8 hours
4/3/2023 12:50:25,7,less than 8 hours
4/3/2023 12:50:40,5,8+ hours
4/3/2023 12:51:18,5,less than 8 hours
4/3/2023 12:51:30,6,less than 8 hours
4/3/2023 12:51:43,7,less than 8 hours
4/3/2023 12:52:02,8,less than 8 hours
4/3/2023 12:52:15,3,8+ hours
4/3/2023 12:52:32,2,8+ hours
4/3/2023 12:52:39,1,8+ hours
4/3/2023 12:54:08,6,less than 8 hours
4/3/2023 13:10:49,5,less than 8 hours
4/3/2023 13:17:34,3,less than 8 hours
